sample-id	forward-absolute-filepath	reverse-absolute-filepath
DNAControl	/depot/john2185/data/eunice/IBDProb/072400_DNAControl_S189_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072400_DNAControl_S189_run1035_L001_R2_001.fastq.gz
F1-DAY0	/depot/john2185/data/eunice/IBDProb/072401_F1-DAY0_S190_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072401_F1-DAY0_S190_run1035_L001_R2_001.fastq.gz
F1-DAY7	/depot/john2185/data/eunice/IBDProb/072402_F1-DAY7_S191_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072402_F1-DAY7_S191_run1035_L001_R2_001.fastq.gz
F10-DAY17	/depot/john2185/data/eunice/IBDProb/072403_F10-DAY17_S192_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072403_F10-DAY17_S192_run1035_L001_R2_001.fastq.gz
F10-DAY7	/depot/john2185/data/eunice/IBDProb/072404_F10-DAY7_S193_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072404_F10-DAY7_S193_run1035_L001_R2_001.fastq.gz
F11-DAY0	/depot/john2185/data/eunice/IBDProb/072405_F11-DAY0_S194_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072405_F11-DAY0_S194_run1035_L001_R2_001.fastq.gz
F11-DAY17	/depot/john2185/data/eunice/IBDProb/072406_F11-DAY17_S195_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072406_F11-DAY17_S195_run1035_L001_R2_001.fastq.gz
F11-DAY7-Du1	/depot/john2185/data/eunice/IBDProb/072407_F11-DAY7-Du1_S196_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072407_F11-DAY7-Du1_S196_run1035_L001_R2_001.fastq.gz
F11-DAY7-Du2	/depot/john2185/data/eunice/IBDProb/072408_F11-DAY7-Du2_S197_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072408_F11-DAY7-Du2_S197_run1035_L001_R2_001.fastq.gz
F12-DAY0	/depot/john2185/data/eunice/IBDProb/072409_F12-DAY0_S198_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072409_F12-DAY0_S198_run1035_L001_R2_001.fastq.gz
F12-DAY17	/depot/john2185/data/eunice/IBDProb/072410_F12-DAY17_S199_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072410_F12-DAY17_S199_run1035_L001_R2_001.fastq.gz
F12-DAY7	/depot/john2185/data/eunice/IBDProb/072411_F12-DAY7_S200_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072411_F12-DAY7_S200_run1035_L001_R2_001.fastq.gz
F13-DAY0-Du3	/depot/john2185/data/eunice/IBDProb/072412_F13-DAY0-Du3_S201_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072412_F13-DAY0-Du3_S201_run1035_L001_R2_001.fastq.gz
F13-DAY17-Du1	/depot/john2185/data/eunice/IBDProb/072413_F13-DAY17-Du1_S202_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072413_F13-DAY17-Du1_S202_run1035_L001_R2_001.fastq.gz
F13-DAY17-Du2	/depot/john2185/data/eunice/IBDProb/072414_F13-DAY17-Du2_S203_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072414_F13-DAY17-Du2_S203_run1035_L001_R2_001.fastq.gz
F13-DAY7	/depot/john2185/data/eunice/IBDProb/072415_F13-DAY7_S204_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072415_F13-DAY7_S204_run1035_L001_R2_001.fastq.gz
F14-DAY0	/depot/john2185/data/eunice/IBDProb/072416_F14-DAY0_S205_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072416_F14-DAY0_S205_run1035_L001_R2_001.fastq.gz
F14-DAY17	/depot/john2185/data/eunice/IBDProb/072417_F14-DAY17_S206_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072417_F14-DAY17_S206_run1035_L001_R2_001.fastq.gz
F15-DAY0	/depot/john2185/data/eunice/IBDProb/072418_F15-DAY0_S207_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072418_F15-DAY0_S207_run1035_L001_R2_001.fastq.gz
F15-DAY17	/depot/john2185/data/eunice/IBDProb/072419_F15-DAY17_S208_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072419_F15-DAY17_S208_run1035_L001_R2_001.fastq.gz
F15-DAY7	/depot/john2185/data/eunice/IBDProb/072420_F15-DAY7_S209_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072420_F15-DAY7_S209_run1035_L001_R2_001.fastq.gz
F2-DAY0	/depot/john2185/data/eunice/IBDProb/072421_F2-DAY0_S210_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072421_F2-DAY0_S210_run1035_L001_R2_001.fastq.gz
F2-DAY7	/depot/john2185/data/eunice/IBDProb/072422_F2-DAY7_S211_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072422_F2-DAY7_S211_run1035_L001_R2_001.fastq.gz
F3-DAY0-Du1	/depot/john2185/data/eunice/IBDProb/072423_F3-DAY0-Du1_S212_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072423_F3-DAY0-Du1_S212_run1035_L001_R2_001.fastq.gz
F3-DAY0-Du2	/depot/john2185/data/eunice/IBDProb/072424_F3-DAY0-Du2_S213_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072424_F3-DAY0-Du2_S213_run1035_L001_R2_001.fastq.gz
F3-DAY17	/depot/john2185/data/eunice/IBDProb/072425_F3-DAY17_S214_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072425_F3-DAY17_S214_run1035_L001_R2_001.fastq.gz
F3-DAY7	/depot/john2185/data/eunice/IBDProb/072426_F3-DAY7_S215_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072426_F3-DAY7_S215_run1035_L001_R2_001.fastq.gz
F4-DAY0	/depot/john2185/data/eunice/IBDProb/072427_F4-DAY0_S216_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072427_F4-DAY0_S216_run1035_L001_R2_001.fastq.gz
F4-DAY17	/depot/john2185/data/eunice/IBDProb/072428_F4-DAY17_S217_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072428_F4-DAY17_S217_run1035_L001_R2_001.fastq.gz
F4-DAY7	/depot/john2185/data/eunice/IBDProb/072429_F4-DAY7_S218_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072429_F4-DAY7_S218_run1035_L001_R2_001.fastq.gz
F5-DAY0	/depot/john2185/data/eunice/IBDProb/072430_F5-DAY0_S219_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072430_F5-DAY0_S219_run1035_L001_R2_001.fastq.gz
F5-DAY17	/depot/john2185/data/eunice/IBDProb/072431_F5-DAY17_S220_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072431_F5-DAY17_S220_run1035_L001_R2_001.fastq.gz
F5-DAY7	/depot/john2185/data/eunice/IBDProb/072432_F5-DAY7_S221_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072432_F5-DAY7_S221_run1035_L001_R2_001.fastq.gz
F6-DAY0	/depot/john2185/data/eunice/IBDProb/072433_F6-DAY0_S222_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072433_F6-DAY0_S222_run1035_L001_R2_001.fastq.gz
F6-DAY17	/depot/john2185/data/eunice/IBDProb/072434_F6-DAY17_S223_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072434_F6-DAY17_S223_run1035_L001_R2_001.fastq.gz
F6-DAY7	/depot/john2185/data/eunice/IBDProb/072435_F6-DAY7_S224_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072435_F6-DAY7_S224_run1035_L001_R2_001.fastq.gz
F7-DAY0	/depot/john2185/data/eunice/IBDProb/072436_F7-DAY0_S225_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072436_F7-DAY0_S225_run1035_L001_R2_001.fastq.gz
F7-DAY17	/depot/john2185/data/eunice/IBDProb/072437_F7-DAY17_S226_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072437_F7-DAY17_S226_run1035_L001_R2_001.fastq.gz
F8-DAY0	/depot/john2185/data/eunice/IBDProb/072438_F8-DAY0_S227_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072438_F8-DAY0_S227_run1035_L001_R2_001.fastq.gz
F8-DAY17	/depot/john2185/data/eunice/IBDProb/072439_F8-DAY17_S228_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072439_F8-DAY17_S228_run1035_L001_R2_001.fastq.gz
F8-DAY7	/depot/john2185/data/eunice/IBDProb/072440_F8-DAY7_S229_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072440_F8-DAY7_S229_run1035_L001_R2_001.fastq.gz
F9-DAY17	/depot/john2185/data/eunice/IBDProb/072441_F9-DAY17_S230_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072441_F9-DAY17_S230_run1035_L001_R2_001.fastq.gz
MOCK	/depot/john2185/data/eunice/IBDProb/072442_MOCK_S231_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072442_MOCK_S231_run1035_L001_R2_001.fastq.gz
WATER	/depot/john2185/data/eunice/IBDProb/072443_WATER_S232_run1035_run1035_L001_R1_001.fastq.gz	/depot/john2185/data/eunice/IBDProb/072443_WATER_S232_run1035_run1035_L001_R2_001.fastq.gz
