ID,animal,TreatmentGroup,IdentityNumber,DosingRoute,day,name
F1-DAY0,F1,DSS+LbcLapLin,F1-DAY0,Ad-libitum,0,F1DAY0
F1-DAY7,F1,DSS+LbcLapLin,F1-DAY7,Ad-libitum,7,F1DAY7
F10-DAY17,F10,DSS+H2O,F10-DAY17,Ad-libitum,17,F10DAY17
F10-DAY7,F10,DSS+H2O,F10-DAY7,Ad-libitum,7,F10DAY7
F11-DAY0,F11,DSS+LbcVec,F11-DAY0,Ad-libitum,0,F11DAY0
F11-DAY17,F11,DSS+LbcVec,F11-DAY17,Ad-libitum,17,F11DAY17
F12-DAY0,F12,DSS+LbcVec,F12-DAY0,Ad-libitum,0,F12DAY0
F12-DAY17,F12,DSS+LbcVec,F12-DAY17,Ad-libitum,17,F12DAY17
F12-DAY7,F12,DSS+LbcVec,F12-DAY7,Ad-libitum,7,F12DAY7
F13-DAY7,F13,DSS+LbcVec,F13-DAY7,Ad-libitum,7,F13DAY7
F14-DAY0,F14,DSS+LbcVec,F14-DAY0,Ad-libitum,0,F14DAY0
F14-DAY17,F14,DSS+LbcVec,F14-DAY17,Ad-libitum,17,F14DAY17
F15-DAY0,F15,DSS+LbcVec,F15-DAY0,Ad-libitum,0,F15DAY0
F15-DAY17,F15,DSS+LbcVec,F15-DAY17,Ad-libitum,17,F15DAY17
F15-DAY7,F15,DSS+LbcVec,F15-DAY7,Ad-libitum,7,F15DAY7
F2-DAY0,F2,DSS+LbcLapLin,F2-DAY0,Ad-libitum,0,F2DAY0
F2-DAY7,F2,DSS+LbcLapLin,F2-DAY7,Ad-libitum,7,F2DAY7
F3-DAY17,F3,DSS+LbcLapLin,F3-DAY17,Ad-libitum,17,F3DAY17
F3-DAY7,F3,DSS+LbcLapLin,F3-DAY7,Ad-libitum,7,F3DAY7
F4-DAY0,F4,DSS+LbcLapLin,F4-DAY0,Ad-libitum,0,F4DAY0
F4-DAY17,F4,DSS+LbcLapLin,F4-DAY17,Ad-libitum,17,F4DAY17
F4-DAY7,F4,DSS+LbcLapLin,F4-DAY7,Ad-libitum,7,F4DAY7
F5-DAY0,F5,DSS+LbcLapLin,F5-DAY0,Ad-libitum,0,F5DAY0
F5-DAY17,F5,DSS+LbcLapLin,F5-DAY17,Ad-libitum,17,F5DAY17
F5-DAY7,F5,DSS+LbcLapLin,F5-DAY7,Ad-libitum,7,F5DAY7
F6-DAY0,F6,DSS+H2O,F6-DAY0,Ad-libitum,0,F6DAY0
F6-DAY17,F6,DSS+H2O,F6-DAY17,Ad-libitum,17,F6DAY17
F6-DAY7,F6,DSS+H2O,F6-DAY7,Ad-libitum,7,F6DAY7
F7-DAY0,F7,DSS+H2O,F7-DAY0,Ad-libitum,0,F7DAY0
F7-DAY17,F7,DSS+H2O,F7-DAY17,Ad-libitum,17,F7DAY17
F8-DAY0,F8,DSS+H2O,F8-DAY0,Ad-libitum,0,F8DAY0
F8-DAY17,F8,DSS+H2O,F8-DAY17,Ad-libitum,17,F8DAY17
F8-DAY7,F8,DSS+H2O,F8-DAY7,Ad-libitum,7,F8DAY7
F9-DAY17,F9,DSS+H2O,F9-DAY17,Ad-libitum,17,F9DAY17
